[2026-08-05 11:49:32] [INFO] =================================================================
[2026-08-05 11:49:32] [INFO] DWP Temp Cleanup - Session: 2026-08-05_11-49-32
[2026-08-05 11:49:32] [INFO] Mode       : LIVE
[2026-08-05 11:49:32] [INFO] Cutoff     : files older than 0 day(s) (before 2026-08-05 11:49:32)
[2026-08-05 11:49:32] [INFO] Targets    : C:\Users\labuser\AppData\Local\Temp, C:\Windows\Temp
[2026-08-05 11:49:32] [INFO] =================================================================
[2026-08-05 11:49:32] [INFO] --- Scanning: C:\Users\labuser\AppData\Local\Temp ---
[2026-08-05 11:49:32] [INFO] Files matching criteria: 7
[2026-08-05 11:49:32] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\2\.ses -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\c1a45e1670af4f68a08e390f801afc92.ses
[2026-08-05 11:49:33] [WARN] Locked, skipped: C:\Users\labuser\AppData\Local\Temp\2\91305b2a-d110-4e24-8c50-0a943c4c976f.tmp
[2026-08-05 11:49:33] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\2\cv_debug.log -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\ce97db3b35064774bc9bf9784a3cec18.log
[2026-08-05 11:49:33] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\dicts.dat -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\3b975ef737d24231a95cc565236997cf.dat
[2026-08-05 11:49:33] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\__init__.py -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\a2f609ae32c7494cb7931ebc608f86d4.py
[2026-08-05 11:49:33] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\2\vscode-stable-system-x64\CodeSetup-stable-df53daabb18cd157bdb08c7f01c34df936cf12f4.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\e0a31ba746454c2494184e62f4106c1e.exe
[2026-08-05 11:49:33] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\2\vscode-stable-system-x64\update-metadata.json -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\011c999740fd44ce9d4d10afd976a09c.json
[2026-08-05 11:49:33] [INFO] --- Scanning: C:\Windows\Temp ---
[2026-08-05 11:49:33] [INFO] Files matching criteria: 94
[2026-08-05 11:49:33] [INFO] Moved: C:\Windows\Temp\bb3a785178f443fda931098a5a9a306b.db.ses -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\a9d3270fe2cc48af90514a0811eeb36c.ses
[2026-08-05 11:49:33] [INFO] Moved: C:\Windows\Temp\MpCmdRun.log -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\063616b0131447dda7da89242a9255bf.log
[2026-08-05 11:49:33] [INFO] Moved: C:\Windows\Temp\MpSigStub.log -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\90dedda7d80c4a73a7942db974589a9c.log
[2026-08-05 11:49:33] [INFO] Moved: C:\Windows\Temp\silconfig.log -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\55b3f0e57e6a4006867c01ab0e20d786.log
[2026-08-05 11:49:33] [INFO] Moved: C:\Windows\Temp\_env.cmd -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\fe49207684a04244b89c2331acf2a256.cmd
[2026-08-05 11:49:33] [INFO] Moved: C:\Windows\Temp\chocolatey\activitywatch\0.13.2\activitywatch-v0.13.2-windows-x86_64.zip -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\b5a239ed4b5440bf913a1d5b10dcce6e.zip
[2026-08-05 11:49:33] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\chocolatey.nuspec -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\b527de7ddb4b4b1d8e8e172a8abe047e.nuspec
[2026-08-05 11:49:33] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\chocolatey.zip -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\4c66d985f7bf4d9c9644a2f3818868ac.zip
[2026-08-05 11:49:33] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\[Content_Types].xml -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\308f15723cce4c21a7618f64f3e3f4b6.xml
[2026-08-05 11:49:33] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\package\services\metadata\core-properties\5ad4dc75cc79452d8e7e738cb4a3286e.psmdcp -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\e886cadabddf4ffc8a7fce83b60164cb.psmdcp
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\6c80658e824b4f9684638d6064ebd0f2.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateysetup.psm1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\e1527688decd4559953cc37d7799d4ec.psm1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\init.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\613fa831a0bf44fa9cc825ed140688c8.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\VERIFICATION.txt -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\91959a32f035456ca4e09f1cd6c97394.txt
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\988f13d203f44be78b31972515ae0d67.exe
